#language	level	mode	problem	answer	answer pic	answer sound	answer sound duration	wrong answer 1	wrong answer 1 pic	wrong answer 1 sound	wrong answer 1 sound duration	wrong answer 2	wrong answer 2 pic	wrong answer 2 sound	wrong answer 2 sound duration
ms-MY	8	ChooseSentense	1	Dia memasak.	l8_shecooking.png	diamemasak.m4a		Dia tidur.	l8_shesleeping.png	diatidur.m4a		Dia mencuci tangan.	l8_shewashinghand.png	diamencucitangan.m4a	
ms-MY	8	ChooseSentense	2	Dia berlari.	l8_herunning.png	diaberlari.m4a		Dia berjalan.	l8_hewalking.png	diaberjalan.m4a		Dia melompat.	l8_hejumping.png	diamelompat.m4a	
ms-MY	8	ChooseSentense	3	Budak lelaki itu melukis.	l8_boydrawing.png	budaklelakiitumelukis.m4a		Budak lelaki itu makan.	l8_heeatingsalad.png	budaklelakiitumakan.m4a		Budak lelaki itu membaca.	l8_boyreading.png	budaklelakiitumembaca.m4a	
ms-MY	8	ChoosePicture	4	Dia berenang.	l8_heswimming.png	diaberenang.m4a		Dia berlari.	l8_herunning2.png	diaberlari.m4a		Dia melompat.	l8_hejumping.png	diamelompat.m4a
ms-MY	8	ChoosePicture	5	Dia makan salad.	l8_heeatingsalad.png	diamakansalad.m4a		Dia makan donat.	l8_heeatingdonut.png	diamakandonat.m4a		Dia makan ikan.	l8_heeatingfish.png	diamakanikan.m4a	
ms-MY	9	ChooseSentense	1	Dia di dapur.	l9_shekitchen.png	diadidapur.m4a		Dia di bilik tidur.	l9_shebedroom.png	diadibiliktidur.m4a		Dia di bilik air.	l9_shebathroom.png	diadibilikair.m4a	
ms-MY	9	ChooseSentense	2	Seekor anjing di bawah meja.	l9_dogundertable.png	seekoranjingdibawahmeja.m4a		Seekor kucing di bawah meja.	l9_catundertable.png	seekorkucingdibawahmeja.m4a		Seekor arnab di bawah meja.	l9_rabbitundertable.png	seekorarnabdibawahmeja.m4a	
ms-MY	9	ChoosePicture	3	Seekor kucing di atas kotak.	l9_catonbox.png	seekorkucingdiataskotak.m4a		Seekor kucing di dalam kotak.	l9_catinbox.png	seekorkucingdidalamkotak.m4a		Seekor kucing di bawah kotak.	l9_catunderbox.png	seekorkucingdibawahkotak.m4a	
ms-MY	9	ChoosePicture	4	Seorang budak lelaki duduk di atas kerusi.	l9_boysitschair.png	seorangbudaklelakidudukdiataskerusi.m4a		Seorang budak perempuan duduk di atas kerusi.	l9_girlsitschair.png	seorangbudakperempuandudukdiataskerusi.m4a		Cikgu Mimi duduk di atas kerusi.	l9_teachersitschair.png	cikgumimidudukdiataskerusi.m4a	
ms-MY	9	ChoosePicture	5	Budak lelaki di sebelah pokok.	l9_hestandtree.png	budaklelakidisebelahpokok.m4a		Dia berdiri di sebelah pokok.	l9_shestandtree.png	diaberdiridisebelahpokok.m4a		Mereka berdiri di sebelah pokok.	l9_theystandtree.png	merekaberdiridisebelahpokok.m4a	
ms-MY	10	ChoosePicture	1	Bola itu di bawah meja.	l10_ballunderdesk.png	bolaitudibawahmeja.m4a		Bola itu di atas meja.	l10_ballondesk.png	bolaitudiatasmeja.m4a		Bola itu di atas kerusi.	l10_ballonchair.png	bolaitudiataskerusi.m4a	
ms-MY	10	ChoosePicture	2	Buah epal di dalam bakul.	l10_applesinbasket.png	buahepaldidalambakul.m4a		Buah anggur di dalam bakul.	l10_grapesinbasket.png	buahanggurdidalambakul.m4a		Buah epal di bawah bakul.	l10_applesunderbasket.png	buahepaldibawahbakul.m4a	
ms-MY	10	ChooseSentense	3	Katak di atas daun.	l10_frogonleaf.png	katakdiatasdaun.m4a		Katak di bawah daun.	l10_frogunderleaf.png	katakdibawahdaun.m4a		Katak di dalam air.	l10_froginwater.png	katakdidalamair.m4a	
ms-MY	10	ChooseSentense	4	Beg itu di bawah katil.	l10_bagunderbed.png	begitudibawahkatil.m4a		Beg itu di atas katil.	l10_bagonbed.png	begitudiataskatil.m4a		Beg itu di sebelah katil.	l10_bagnextbed.png	begitudisebelahkatil.m4a	
ms-MY	10	ChooseSentense	5	Burung di langit.	l10_birdsinsky.png	burungdilangit.m4a		Burung di atas bumbung.	l10_birdsonroof.png	burungdiatasbumbung.m4a		Burung di dalam sarang.	l10_birdsinnest.png	burungdidalamsarang.m4a	
ms-MY	11	ChooseSentense	1	Mereka ada buah mangga.	l11_theyhavemangoes.png	merekaadabuahmangga.m4a		Mereka ada buah oren.	l11_theyhaveoranges.png	merekaadabuahoren.m4a		Mereka ada terung.	l11_theyhaveeggplants.png	merekaadaterung.m4a	
ms-MY	11	ChooseSentense	2	Siti ada sebiji bola.	l11_shehasball.png	sitiadasebijibola.m4a		Ravi ada sebiji bola.	l11_hehasball.png	raviadasebijibola.m4a		Siti ada sebiji belon.	l11_shehasballoon.png	sitiadasebijibelon.m4a	
ms-MY	11	ChoosePicture	3	Mei suka kasut merah jambu.	l11_shelikespinkshoes.png	meisukakasutmerahjambu.m4a		Mei suka kasut kuning.	l11_shelikesyellowshoes.png	meisukakasutkuning.m4a		Mei suka topi merah jambu.	l11_shelikespinkhat.png	meisukatopimerahjambu.m4a	
ms-MY	11	ChoosePicture	4	Kucing itu ada belang.	l11_cathasstripes.png	kucingituadabelang.m4a		Zebra itu ada belang.	l11_zebrastripes.png	zebraituadabelang.m4a		Kucing-kucing itu ada belang.	l11_catshavestripes.png	kucingkucingituadabelang.m4a	
ms-MY	11	ChoosePicture	5	Aini ada pisang hijau.	l11_girlhasgreenbananas.png	ainiadapisanghijau.m4a		Aini ada mangga hijau.	l11_girlhasgreenmangoes.png	ainiadamanggahijau.m4a		Aini ada pisang kuning.	l11_girlshavegreenbananas.png	ainiadapisangkuning.m4a	
ms-MY	12	ChooseSentense	1	Ravi berjalan.	l12_hecannotrunfast.png	raviberjalan.m4a		Lina berjalan.	l12_shecannotrunfast.png	linaberjalan.m4a		Amir berlari pantas.	l12_hecanrunfast.png	amirberlaripantas.m4a	
ms-MY	12	ChooseSentense	2	Lina suka membaca buku.	l12_shecannotreadwell.png	linasukamembacabuku.m4a		Lina menulis.	l12_shecannotwritewell.png	linamenulis.m4a		Kumar membaca buku.	l12_hecannotreadwell.png	kumarmembacabuku.m4a	
ms-MY	12	ChooseSentense	3	Kaki Amir sakit.	l12_boycannotwalk.png	kakiamirsakit.m4a		Amir makan.	l12_boycannoteat.png	amirmakan.m4a		Kaki Mei sakit.	l12_girlcannotwalk.png	kakimeisakit.m4a	
ms-MY	12	ChoosePicture	4	Siti dan Kavita memasak.	l12_theycannotcookwell.png	sitidankavitamemasak.m4a		Siti memasak.	l12_shecancookwell.png	sitimemasak.m4a		Ravi memasak.	l12_hecantcookwell.png	ravimemasak.m4a	
ms-MY	12	ChoosePicture	5	Hao jatuh.	l12_hecantjumphigh.png	haojatuh.m4a		Aini jatuh.	l12_shecantjumphigh.png	ainijatuh.m4a		Kumar melompat tinggi.	l12_hecanjumphigh.png	kumarmelompattinggi.m4a	
ms-MY	13	ChooseSentense	1	Kucing di depan kotak.	l13_catfrontbox.png	kucingdidepankotak.m4a		Kucing di belakang kotak.	l13_catbehindbox.png	kucingdibelakangkotak.m4a		Kucing di antara kotak.	l13_catbetweenboxes.png	kucingdiantarakotak.m4a	
ms-MY	13	ChooseSentense	2	Singa di bawah pokok.	l13_lionbehindtree.png	singadibawahpokok.m4a		Singa di antara pokok.	l13_lionbetweentrees.png	singadiantarapokok.m4a		Singa di sebelah pokok.	l13_lionnexttree.png	singadisebelahpokok.m4a	
ms-MY	13	ChoosePicture	3	Sekolah di depan taman.	l13_schoolfrontpark.png	sekolahdidepantaman.m4a		Sekolah di sebelah taman.	l13_schoolnextpark.png	sekolahdisebelahtaman.m4a		Perhentian bas di depan sekolah.	l13_busstopfrontschool.png	perhentianbasdidepansekolah.m4a	
ms-MY	13	ChoosePicture	4	Anjing itu di antara kambing dan biri-biri.	l13_dogbtwgoat_sheep.png	anjingitudiantarakambingdanbiribiri.m4a		Anjing itu di antara lembu dan kambing.	l13_dogbtwcow_goat.png	anjingitudiantaralembudankambing.m4a		Kambing itu di antara lembu dan anjing.	l13_goatbtwcow_dog.png	kambingitudiantaralembudananjing.m4a	
ms-MY	13	ChoosePicture	5	Datuk di antara Ali dan Amir.	l13_oldmanbtwboys.png	datukdiantaraalidanamir.m4a		Datuk di depan Aini.	l13_oldmanfrontgirl.png	datukdidepanaini.m4a		Datuk di belakang Aini.	l13_oldmanbehindgirl.png	datukdibelakangaini.m4a	
ms-MY	14	ChooseSentense	1	Mereka makan sayur.	l14_theyxfish.png	merekamakansayur.m4a		Mereka makan buah-buahan.	l14_theyeatfruits.png	merekamakanbuahbuahan.m4a		Mereka makan ikan.	l14_theyfish.png	merekamakanikan.m4a	
ms-MY	14	ChoosePicture	2	Singa makan daging.	l14_lionsxcarrots.png	singamakandaging.m4a		Arnab makan lobak merah.	l14_rabibitcarrots.png	arnabmakanlobakmerah.m4a		Zebra makan lobak merah.	l14_zebrascarrots.png	zebramakanlobakmerah.m4a	
ms-MY	14	ChooseSentense	3	Mei takut anjing.	l14_shexlikedog.png	meitakutanjing.m4a		Amir takut anjing.	l14_hexlikedog.png	amirtakutanjing.m4a		Mei takut kucing.	l14_shexlikecat.png	meitakutkucing.m4a	
ms-MY	14	ChooseSentense	4	Ming kayuh basikal.	l14_boyxreadbook.png	mingkayuhbasikal.m4a		Lina membaca buku.	l14_girlxreadbook.png	linamembacabuku.m4a		Ravi membaca buku.	l14_boyreadsbook.png	ravimembacabuku.m4a	
ms-MY	14	ChooseSentense	5	Kumar ada kambing.	l14_manhasgoat.png	kumaradakambing.m4a		Siti ada kambing.	l14_womanhasgoat.png	sitiadakambing.m4a		Ravi ada biri-biri.	l14_manhasxgoat.png	raviadabiribiri.m4a	
ms-MY	15	ChooseSentense	1	Mei membaca buku di bawah pokok.	l15_shereadundertree.png	meimembacabukudibawahpokok.m4a		Mei membaca buku di bawah meja.	l15_shereadundertable.png	meimembacabukudibawahmeja.m4a		Mei membaca buku di atas meja.	l15_shereadontable.png	meimembacabukudiatasmeja.m4a	
ms-MY	15	ChooseSentense	2	Ming di antara kerusi.	l15_boystandbtwchairs.png	mingdiantarakerusi.m4a		Ming di belakang kerusi.	l15_boystandbhdchair.png	mingdibelakangkerusi.m4a		Ming di sebelah kerusi.	l15_boystandnextchair.png	mingdisebelahkerusi.m4a	
ms-MY	15	ChoosePicture	3	Kumar berdiri di tepi perhentian bas.	l15_manstandbybstop.png	kumarberdiriditepiperhentianbas.m4a		Kumar berjalan ke perhentian bas.	l15_manwalkingtobstop.png	kumarberjalankeperhentianbas.m4a		Kumar duduk di perhentian bas.	l15_mansittingatbstop.png	kumardudukdiperhentianbas.m4a	
ms-MY	15	ChoosePicture	4	Rumah di sebelah pokok.	l15_housenexttree.png	rumahdisebelahpokok.m4a		Rumah di antara pokok.	l15_housebtwtrees.png	rumahdiantarapokok.m4a		Pokok di antara rumah.	l15_treebtwhouses.png	pokokdiantararumah.m4a	
ms-MY	15	ChoosePicture	5	Buah oren di dalam kotak.	l15_orangesinbox.png	buahorendidalamkotak.m4a		Buah mangga di dalam bakul.	l15_mangoesinbasket.png	buahmanggadidalambakul.m4a		Buah oren di atas kotak.	l15_orangesonbox.png	buahorendiataskotak.m4a	
ms-MY	16	ChooseSentense	1	Ali bermain bola.	l16_hewillfootball.png	alibermainbola.m4a		Ali sapu rumah.	l16_hecleanhouse.png	alisapurumah.m4a		Ali minum susu.	l16_hedrinkmilk.png	aliminumsusu.m4a	
ms-MY	16	ChooseSentense	2	Ali dan Amir pergi berenang.	l16_theywillswimming.png	alidanamirpergiberenang.m4a		Ali dan Amir pergi memancing.	l16_theywilfising.png	alidanamirpergimemancing.m4a		Ali dan Amir pergi mendaki.	l16_theywillhiking.png	alidanamirpergimendaki.m4a	
ms-MY	16	ChooseSentense	3	Ravi mahu jadi doktor.	l16_hewantsdoctor.png	ravimahujadidoktor.m4a		Ravi mahu jadi guru.	l16_hewantsteacher.png	ravimahujadiguru.m4a		Aini mahu jadi doktor.	l16_girlwantsdoctor.png	ainimahujadidoktor.m4a	
ms-MY	16	ChoosePicture	4	Kumar dan Kavita mahu beli pisang.	l16_theywantbananas.png	kumardankavitamahubelipisang.m4a		Kumar dan Kavita mahu beli mangga.	l16_hewantsmangoes.png	kumardankavitamahubelimangga.m4a		Kavita mahu beli pisang.	l16_shewantsbananas.png	kavitamahubelipisang.m4a	
ms-MY	16	ChoosePicture	5	Aini mahu tidur.	l16_girlwantsbed.png	ainimahutidur.m4a		Aini mahu naik kapal terbang.	l16_girlwantsairplane.png	ainimahunaikkapalterbang.m4a		Aini mahu sebuah basikal.	l16_girlwantbicycle.png	ainimahusebuahbasikal.m4a	
ms-MY	17	ChooseSentense	1	Cikgu Mimi beri roti kepada murid.	l17_shegivingbread.png	cikgumimiberirotikepadamurid.m4a		Cikgu Mimi beri susu kepada murid.	l17_shegivingmilk.png	cikgumimiberisusukepadamurid.m4a		Cikgu Mimi beri air kepada lembu.	l17_shegivingwater.png	cikgumimiberiairkepadalembu.m4a	
ms-MY	17	ChooseSentense	2	Rosli dan Lisa lari ke sekolah dalam hujan.	l17_theyrunschool.png	roslidanlisalarikesekolahdalamhujan.m4a		Rosli dan Lisa main bola dalam hujan.	l17_theyplayfootball.png	roslidanlisamainboladalamhujan.m4a		Rosli dan Lisa melompat dalam hujan.	l17_theyjumpingrain.png	roslidanlisamelompatdalamhujan.m4a	
ms-MY	17	ChoosePicture	3	Siti bantu ibu jemur baju.	l17_shehelpmomdry.png	sitibantuibujemurbaju.m4a		Siti bantu ayah angkat kotak.	l17_shehelpdadcarry.png	sitibantuayahangkatkotak.m4a		Siti bantu ibu masak.	l17_shehelpmomcook.png	sitibantuibumasak.m4a	
ms-MY	17	ChoosePicture	4	Datuk cat meja.	l17_oldmanpaintingdesk.png	datukcatmeja.m4a		Datuk cat kerusi.	l17_oldmanpaintingchair.png	datukcatkerusi.m4a		Amir cat meja.	l17_youngmanpaintingdesk.png	amircatmeja.m4a	
ms-MY	17	ChoosePicture	5	Sami dan Kumar bina istana pasir.	l17_theymakingsand.png	samidankumarbinaistanapasir.m4a		Sami dan Kumar bina istana kotak.	l17_theymakingbox.png	samidankumarbinaistanakotak.m4a		Sami dan Kumar bina istana blok.	l17_theymakingblock.png	samidankumarbinaistanablok.m4a	
ms-MY	18	ChoosePicture	1	Baldi itu warna berbeza.	l3_3pails.png	baldiituwarnaberbeza.m4a		Bola itu warna sama.	l3_4balls.png	bolaituwarnasama.m4a		Kereta itu warna berbeza.	l3_3cars.png	keretaituwarnaberbeza.m4a	
ms-MY	18	ChoosePicture	2	Kucing lebih kecil daripada anjing.	l4_dogcat.png	kucinglebihkecildaripadaanjing.m4a		Kucing lebih besar daripada burung.	l4_catbird.png	kucinglebihbesardaripadaburung.m4a		Burung lebih kecil daripada anjing.	l4_dogbird.png	burunglebihkecildaripadaanjing.m4a	
ms-MY	18	ChoosePicture	3	Belon itu biru.	l2_blueballoons.png	belonitubiru.m4a		Belon itu kuning.	l2_yellowballoons.png	belonitukuning.m4a		Belon itu merah jambu.	l2_pinkballoons.png	belonitumerahjambu.m4a	
ms-MY	18	ChooseSentense	4	Amir ada dua buah kerusi.	l4_1boy2chairs.png	amiradaduabuahkerusi.m4a		Amir ada tiga buah kerusi.	l4_2boys1chair.png	amiradatigabuahkerusi.m4a		Amir ada sebuah kerusi.	l4_3circles1square.png	amiradasebuahkerusi.m4a	
ms-MY	18	ChooseSentense	5	Dua biji tomato dan dua biji lemon.	l4_2lemons2tomatos.png	duabijitomatodanduabijilemon.m4a		Tiga biji lemon dan sebiji tomato.	l4_2lemons1tomato.png	tigabijilemondansebijitomato.m4a		Dua batang sudu dan dua batang garpu.	l4_2spoons2forks.png	duabatangsududanduabatanggarpu.m4a	
ms-MY	19	ChooseSentense	1	Pak Cik memandu bas.	l7_hecandrive.png	pakcikmemandubas.m4a		Pak Cik melukis.	l7_hecandraw.png	pakcikmelukis.m4a		Pak Cik memasak.	l7_hecancook.png	pakcikmemasak.m4a	
ms-MY	19	ChooseSentense	2	Jururawat jaga bayi.	l6_shenurse.png	jururawatjagabayi.m4a		Doktor rawat pesakit.	l6_hedoctor.png	doktorrawatpesakit.m4a		Amir bina rumah.	l7_hecanmake_house.png	amirbinarumah.m4a	
ms-MY	19	ChooseSentense	3	Lembu paling besar.	l13_dogbtwcow_goat.png	lembupalingbesar.m4a		Datuk paling tua.	l13_oldmanbtwboys.png	datukpalingtua.m4a		Anjing paling kecil.	l17_shegivingmilk.png	anjingpalingkecil.m4a	
ms-MY	19	ChoosePicture	4	Mak Cik cuci tangan di bilik air.	l9_shebathroom.png	makcikcucitangandibilikair.m4a		Mak Cik tidur di bilik tidur.	l9_shebedroom.png	makciktidurdibiliktidur.m4a		Mak Cik masak di dapur.	l9_shekitchen.png	makcikmasakdidapur.m4a	
ms-MY	19	ChoosePicture	5	Burung kuning di dalam sarang.	l10_birdsinnest.png	burungkuningdidalamsarang.m4a		Buah epal di dalam bakul.	l10_applesinbasket.png	buahepaldidalambakul.m4a		Buah anggur di dalam bakul.	l10_grapesinbasket.png	buahanggurdidalambakul.m4a	
