									
#LanguageTag	#Level	#Worksheet	#ProblemNo	#Sentence	#SentenceSoundKeeper	#Word1	#Word2	#Word3	#Time
ms-MY	9	1	1	Saya [lapar].	sayalapar.m4a	minum	sakit	makan	10
ms-MY	9	1	2	Amy [jatuh] sakit.	amyjatuhsakit.m4a	pergi	duduk	lari	10
ms-MY	9	1	3	Murid itu [abang] saya.	muridituabangsaya.m4a	kakak	adik	kawan	10
ms-MY	9	2	1	Bapa Ravi seorang [guru].	baparaviseorangguru.m4a	murid	doktor	jururawat	10
ms-MY	9	2	2	Saya rasa [haus].	sayarasahaus.m4a	lapar	sakit	makan	10
ms-MY	9	2	3	Ibu bapa Devi [baik].	ibubapadevibaik.m4a	jahat	garang	kasar	10
ms-MY	10	1	1	Ali dan Amir [pergi] ke sekolah.	alidanamirpergikesekolah.m4a	makan	minum	duduk	10
ms-MY	10	1	2	Saya ada dua orang [abang].	sayaadaduaorangabang.m4a	kakak	adik	kawan	15
ms-MY	10	1	3	Bapa Ming [ada] kereta besar.	bapamingadakeretabesar.m4a	makan	pergi	beli	10
ms-MY	10	2	1	Aini bantu [ibu].	ainibantuibu.m4a	adik	kawan	guru	10
ms-MY	10	2	2	Lina [dan] Kavita suka minum susu.	linadankavitasukaminumsusu.m4a	atau	tetapi	kerana	10
ms-MY	10	2	3	Kami tinggal di [bandar].	kamitinggaldibandar.m4a	kampung	sekolah	kedai	10
ms-MY	11	1	1	Cicak ada empat [kaki].	cicakadaempatkaki.m4a	mata	telinga	ekor	10
ms-MY	11	1	2	Lembu [makan] rumput.	lembumakanrumput.m4a	minum	lihat	beli	10
ms-MY	11	1	3	Hao [main] dengan adik.	haomaindenganadik.m4a	makan	minum	duduk	10
ms-MY	11	2	1	Kami [masak] di rumah.	kamimasakdirumah.m4a	makan	minum	duduk	10
ms-MY	11	2	2	Siti [suka] kucing.	sitisukakucing.m4a	mahu	beli	makan	10
ms-MY	11	2	3	Amir [memancing] ikan.	amirmemancingikan.m4a	makan	minum	main	15
ms-MY	12	1	1	Cuaca hari ini [cerah].	cuacahariinicerah.m4a	hujan	panas	gelap	10
ms-MY	12	1	2	Devi [tinggi].	devitinggi.m4a	rendah	kecil	besar	10
ms-MY	12	1	3	Saya [berlari] pantas.	sayaberlaripantas.m4a	berjalan	melompat	berenang	10
ms-MY	12	2	1	Cuaca hari ini [hujan].	cuacahariinihujan.m4a	cerah	panas	gelap	10
ms-MY	12	2	2	Ravi [kuat].	ravikuat.m4a	lemah	kecil	rendah	15
ms-MY	12	2	3	Mei [berenang] di sungai.	meiberenangdisungai.m4a	berlari	berjalan	melompat	10
ms-MY	13	1	1	Ini [hidung] saya.	inihidungsaya.m4a	mulut	dagu	mata	10
ms-MY	13	1	2	Ini [pipi] saya.	inipipisaya.m4a	dagu	telinga	kepala	10
ms-MY	13	1	3	Ini [mata] saya.	inimatasaya.m4a	telinga	mulut	tangan	10
ms-MY	13	2	1	Ini [mulut] saya.	inimulutsaya.m4a	dagu	hidung	mata	10
ms-MY	13	2	2	Ini [telinga] saya.	initelingasaya.m4a	mata	pipi	kepala	10
ms-MY	13	2	3	Ini [dahi] saya.	inidahisaya.m4a	hidung	kepala	muka	10
ms-MY	14	1	1	Tangan saya [besar].	tangansayabesar.m4a	kecil	panjang	pendek	10
ms-MY	14	1	2	Mata dia [besar].	matadiabesar.m4a	kecil	panjang	pendek	10
ms-MY	14	1	3	Saya ada dua [bahu].	sayaadaduabahu.m4a	perut	lutut	kaki	10
ms-MY	14	2	1	Di mana [kaki] kamu?	dimanakakikamu.m4a	tangan	leher	muka	10
ms-MY	14	2	2	Di mana [lutut] kamu?	dimanalututkamu.m4a	rambut	tangan	kaki	10
ms-MY	14	2	3	Di mana [dada] kamu?	dimanadadakamu.m4a	kaki	dagu	pipi	10
ms-MY	15	1	1	Buah itu [manis].	buahitumanis.m4a	masam	pahit	busuk	10
ms-MY	15	1	2	Bapa Ali [sibuk].	bapaalisibuk.m4a	letih	sakit	lapar	10
ms-MY	15	1	3	Mei ada basikal [baharu].	meiadabasikalbaharu.m4a	lama	panas	basah	10
ms-MY	15	2	1	Kasut Ravi [kotor].	kasutravikotor.m4a	bersih	besar	kecil	10
ms-MY	15	2	2	Devi angkat kotak [berat].	deviangkatkotakberat.m4a	ringan	tinggi	cantik	15
ms-MY	15	2	3	Siti [gembira].	sitigembira.m4a	sedih	lapar	takut	10
ms-MY	16	1	1	Ali [cuci] tangan.	alicucitangan.m4a	sikat	makan	minum	15
ms-MY	16	1	2	Aini [bangun] pagi.	ainibangunpagi.m4a	cuci	tidur	duduk	15
ms-MY	16	1	3	Kumar [makan] roti.	kumarmakanroti.m4a	buat	habis	ada	15
ms-MY	16	2	1	Hao gosok [gigi].	haogosokgigi.m4a	rambut	kasut	kaki	15
ms-MY	16	2	2	Mei [tidur] malam.	meitidurmalam.m4a	cuci	bangun	balik	15
ms-MY	16	2	3	Ravi [bersih] rumah.	ravibersihrumah.m4a	makan	buat	menangis	15
ms-MY	17	1	1	Labah-labah ada lapan [kaki].	labah-labahadalapankaki.m4a	mata	telinga	ekor	10
ms-MY	17	1	2	Siti [suka] kucing.	sitisukakucing.m4a	mahu	beli	makan	10
ms-MY	17	1	3	Ali dan Amir [tinggi].	alidanamirtinggi.m4a	rendah	kecil	besar	10
ms-MY	17	2	1	Mei [berenang].	meiberenang.m4a	berlari	berjalan	melompat	10
ms-MY	17	2	2	Abang Kumar [kuat].	abangkumarkuat.m4a	lemah	kecil	rendah	15
ms-MY	17	2	3	Ravi [menangkap] ikan.	ravimenangkapikan.m4a	makan	minum	main	15
ms-MY	18	1	1	Abang saya seorang [murid].	abangsayaseorangmurid.m4a	doktor	petani	guru	15
ms-MY	18	1	2	Kucing itu ada [belang].	kucingituadabelang.m4a	bintik	warna	bulu	10
ms-MY	18	1	3	Saya [masak] telur.	sayamasaktelur.m4a	makan	minum	beli	10
ms-MY	18	2	1	Aini suka [kasut] merah jambu.	ainisukakasutmerahjambu.m4a	baju	seluar	topi	15
ms-MY	18	2	2	Datuk [letih].	datukletih.m4a	gembira	sedih	marah	15
ms-MY	18	2	3	Mei seorang [pemalu].	meiseorangpemalu.m4a	berani	gembira	marah	15
ms-MY	19	1	1	Anjing di [bawah] kerusi.	anjingdibawahkerusi.m4a	atas	dalam	tepi	15
ms-MY	19	1	2	Burung di [langit].	burungdilangit.m4a	atas	bawah	belakang	15
ms-MY	19	1	3	Katak di atas [batu].	katakdiatasbatu.m4a	dalam	bawah	tepi	15
ms-MY	19	2	1	Murid di dalam [kelas].	muriddidalamkelas.m4a	atas	belakang	bawah	15
ms-MY	19	2	2	Buku di atas [meja].	bukudiatasmeja.m4a	dalam	bawah	tepi	15
ms-MY	19	2	3	Ali di bawah [meja].	alidibawahmeja.m4a	atas	dalam	tepi	15
ms-MY	20	1	1	Kucing di belakang [kotak].	kucingdibelakangkotak.m4a	tepi	depan	dalam	15
ms-MY	20	1	2	Ayam di dalam [reban].	ayamdidalamreban.m4a	tepi	belakang	depan	15
ms-MY	20	1	3	Kambing di depan [pokok].	kambingdidepanpokok.m4a	tepi	belakang	dalam	15
ms-MY	20	2	1	Perhentian bas di belakang [taman].	perhentianbasdibelakangtaman.m4a	tepi	depan	dalam	15
ms-MY	20	2	2	Ali di antara [Amir dan Ravi].	alidiantaraamirdanravi.m4a	belakang	tepi	depan	15
ms-MY	20	2	3	Hospital di tepi [bank].	hospitalditepibank.m4a	belakang	dalam	bawah	15
ms-MY	21	1	1	Bapa Ali seorang [doktor].	bapaaliseorangdoktor.m4a	guru	petani	jururawat	10
ms-MY	21	1	2	Bola di [padang].	boladipadang.m4a	dapur	bilik air	ruang tamu	15
ms-MY	21	1	3	Kucing saya [kecil].	kucingsayakecil.m4a	besar	panjang	tinggi	15
ms-MY	21	2	1	Ravi [berjalan] ke sekolah.	raviberjalankesekolah.m4a	berlari	berenang	melompat	15
ms-MY	21	2	2	Siti seorang [guru].	sitiseorangguru.m4a	doktor	murid	jururawat	15
ms-MY	21	2	3	Pisang itu warna [hijau].	pisangituwarnahijau.m4a	kuning	merah	biru	15
ms-MY	22	1	1	Mei [sapu] lantai.	meisapulantai.m4a	cuci	buka	bawa	15
ms-MY	22	1	2	Hao rasa [gembira].	haorasagembira.m4a	sedih	marah	takut	15
ms-MY	22	1	3	Aini [bantu] ayah.	ainibantuayah.m4a	makan	minum	main	15
ms-MY	22	2	1	Ali [cuci] kereta.	alicucikereta.m4a	buka	tutup	bawa	15
ms-MY	22	2	2	Ravi [buka] pintu.	ravibukapintu.m4a	tutup	cuci	bawa	15
ms-MY	22	2	3	Amir dan Ravi [melompat] tinggi.	amirdanravimelompattinggi.m4a	lari	jalan	renang	15
